source,title,issn,id,area
scholarly,Industrial Relations,0019-8676,0019-8676,Management
scholarly,Journal of the Association for Information Science and Technology,2330-1635,2330-1635,Library Science
scholarly,Health Economics,1057-9230,1057-9230,Economics
scholarly,Journal of Health Economics,0167-6296,0167-6296,Economics
scholarly,Journal of Applied Psychology,0021-9010,0021-9010,Other
scholarly,Organizational Behavior and Human Decision Processes,0749-5978,0749-5978,Other
scholarly,Personnel Psychology,0031-5826,0031-5826,Other
scholarly,Psychological Science,0956-7976,0956-7976,Other
scholarly,Information Systems Research,1047-7047,1047-7047,Information Systems
scholarly,Journal of Management Information Systems,0742-1222,0742-1222,Information Systems
scholarly,MIS Quarterly,0276-7783,0276-7783,Information Systems
scholarly,Academy of Management Journal,0001-4273,0001-4273,Management
scholarly,Academy of Management Review,0363-7425,0363-7425,Management
scholarly,Administrative Science Quarterly,0001-8392,0001-8392,Management
scholarly,Journal of Management,0149-2063,0149-2063,Management
scholarly,Journal of Management Studies,0022-2380,0022-2380,Management
scholarly,Management Science,0025-1909,0025-1909,Management
scholarly,American Economic Review,0002-8282,0002-8282,Economics
scholarly,Econometrica,0012-9682,0012-9682,Economics
scholarly,Economic Journal,0013-0133,0013-0133,Economics
scholarly,International Economic Review,0020-6598,0020-6598,Economics
scholarly,Journal of Economic Perspectives,0895-3309,0895-3309,Economics
scholarly,Journal of Political Economy,0022-3808,0022-3808,Economics
scholarly,Journal of the European Economic Association,1542-4766,1542-4766,Economics
scholarly,Quarterly Journal of Economics,0033-5533,0033-5533,Economics
scholarly,Review of Economic Studies,0034-6527,0034-6527,Economics
scholarly,Review of Economics and Statistics,0034-6535,0034-6535,Economics
scholarly,Journal of Consumer Research,0093-5301,0093-5301,Marketing
scholarly,Journal of Marketing,0022-2429,0022-2429,Marketing
scholarly,Journal of Marketing Research,0022-2437,0022-2437,Marketing
scholarly,Marketing Science,0732-2399,0732-2399,Marketing
scholarly,INFORMS Journal on Computing,1091-9856,1091-9856,Management
scholarly,Mathematical Programming,0025-5610,0025-5610,Management
scholarly,Mathematics of Operations Research,0364-765X,0364-765X,Management
scholarly,Operations Research,0030-364X,0030-364X,Management
scholarly,Journal of Operations Management,0272-6963,0272-6963,Management
scholarly,Manufacturing & Service Operations Management,1523-4614,1523-4614,Management
scholarly,Production and Operations Management,1059-1478,1059-1478,Management
scholarly,Strategic Management Journal,0143-2095,0143-2095,Management
scholarly,Journal of Environmental Economics and Management,0095-0696,0095-0696,Management
scholarly,Journal of Organizational Behavior,0894-3796,0894-3796,Management
scholarly,Organization Science,1047-7039,1047-7039,Management
scholarly,Organization Studies,0170-8406,0170-8406,Management
